
10-MAY-1990	0:45

TOTAL PAGES 451721  FILES 35369

  INHOUSE	QUOTA		  OVER		OUTHOUSE

  0   1190  134   6000 TBATLIB
  0    223   15   1000 TBAUSPS
  0      2    1   3000 TED
  0   1294   83   2000 TELE
  0     63    4  10000 TIIDEV
  0    467   57   2000 TJB
  0      4    2   1250 TNXAIL
  0    740  158 250000 TODD
  0    782   94   5000 TOOLS11
  0    632    4   5000 TOPS10
  0      4    2  10000 TOPS10-701
  0     78   28  10000 TOPS10-702
  0    461    7   2000 TOPS20
  2   9298  301  50000 TSUCOOP
  0    136   31   1000 TTR
  0   1618  184   5000 TUMS
  0    243   26  53392 TXSDOC
  0   2787  276 500000 TXSINFO
  0    882   32  25000 TXSSUP
  0     42    7   1000 TXSTEST
  0    443  113  25000 TXSTEXT
  0     60    8  41248 TYM5
  0      0    0  10000 TYMAIL
  0     32    8   1250 TYMGRIPE
  0    818   36   1000 TYMNET
  0    487    9 250000 UAS
  0   2218  369  25000 UFD
  3  17323  226  20000 UN1
  0    266   60   1250 UORAIL
  1   5237  315  10000 UPL
  0   1117  148   5000 UTIL
  0    339   18    700 UWORK
  0     18    1  25000 VALDEV
  0     44    5  20000 VALIDATE
  0     78   14   2500 VIEW
  0    838  121   2500 VIVIAN
  0    269   50   1000 VMAP
  0    394   44 100000 VU
  0   2797  248 100000 VUE
  0    689   28   5000 WAR
  0     56   15 250000 WFW
  0      4    1  25000 WFWCUSP
  4  20646 1767 100000 WRS
  0    748   42   1250 WRS.NAD
  0      4    2   1250 XAIL
  0     50   10   1250 XCONSULT
  0   1269  238  10000 XEXEC
  0   1041   21   1000#XPPTEST   41
  0    534   88  40000 XUEY
  0    550   39  10000 XXARC
  0   4221  639 999999 YAMM
  0   3259  142 100000 YEUX
  0     73    9   6250 ZONNIE
  0      2    1  10000 ZORK
  0      2    1    100 ZZZ-LAST-DIR
  0    108   50  25000 *1BATCH
  0     31    4   1250 *1KEN
  0   1887   92   3000 *6NEWS
  0     10    5   6000 10UPDATE
  0    682   98   1000 11CURR
  0      5    3  25000 703-ANF10
  0      6    3  25000 703-DECNET
  0      5    3  25000 703-SMFILE
  0      5    3  25000 703-TOOLS
  0   3821  123  25000 703-TOPS10
  0   3876  279   5000 940MAN
