76-778        RPB70-268/Erbet                                                                      001
76-779        RPB71-268/Erbet                                                                      005
76-780        RPB71-382/Erbet                      021
76-783        RPB72-459/Erbet                                                                      010
76-784        RPB72-459/Erbet                                                                      003
76-785        RPB72-680/                           015
76-788        2B75-1121/Erbet                                                                      006
76-789        2B75-1124/Erbet                                                                      006
76-790        2B                                   023
76-793        2B75-1257/Erbet                                                                      024
76-794        Klages/Erbet                                                                         003
76-795                                             020
76-798        2B75-1049/Summit                                                                     025
76-799        71Ab4552/Summit                                                                      006
                                                   021
76-803        RPB72-156/Summit                                                                     015
76-804        RPB73-247/Summit                                                                                                                             012
76-808        2B75-1004/Summit                                                                     019
76-809        2B75-1035/Summit                                                                                                                             024
76-813        2B75-1085/Summit                                                                     020
76-814        2B75-1124/Summit                                                  Summit                                                                     018
76-818        2B75-1184/Summit                                                                     023
76-819        2B75-1192/Summit                                          ages/Summit                                                                        030
76-823        Klages/Summit                                                                        015
76-824        Klages/Summit                                           Klages/Summit                                                                        012
76-828        Klages/Summit                                                                        009
76-829        Klages/Summit                             76-832        Klages/Summit                                                                        013
76-833        Klages/Summit                                                                        012
76-834        Klages/Summit                        017
76-837        2B75-1192/Shabet                                                                     022
76-838        2B75-1209/Shabet                                                                     024
76-839        2B75-1137/Betzes                     021
76-842        2B75-1214/Betzes                                                                     014
76-843        2B75-1124/Centennial                                                                 006
76-844        2B75-1209/Centenni                   008
76-847        2B75-1214/Firlbecks III                                                              025
76-848        60Ab1810-53/Karl                                                                     018
76-849        Karl/6B75-                           002
76-852        6B75-1335/Karl                                                                       026
76-853        Karl/6B75-1335                                                                       013
76-854        6B                                   001
76-857        Karl/6B75-1376                                                                       015
76-858        Karl/6B75-1432                                                                       002
76-859                                             003
76-862        Karl/6B75-1466                                                                       003
76-863        Karl/6B75-1488                                                                       041
                                                   001
76-867        Galt/Karl                                                                            012
