PFLSCN	.SAI		;Profile program stuff
PLNUM	.SAI		;Double precision mangle program
PORTIA	.SAI		;Uses Print hook to allow Port I/O through CPRINT
PQ	.SAI		;Priority queue
PQ2	.SAI		;Priority queue
PRITRY	.SAI		;Priority queue
PROBAL	.SAI		;find probalities for the "BIRTHDAY" problem
PROCBU	.SAI		;Has procedure parameter bug example
PROCSS	.SAI		;Check out "independent !SKIP!" /process stuff
PRODX	.SAI		;Compresses SAIL COMPILER/DEBUGGER trace output
PROFIL	.SAI		;Profil program stuff
PRTYP	.SAI		;Prints SAIL data types (?)
PRTYPE	.SAI		;Prints SAIL data types (?)
PSEUDO	.SAI		;Start -- make pseudo-tty equivs as in manual
PTYP	.SAI		;Print type codes (BAIL types)
QUEENS	.SAI		;Sail solution to the "8 queens" problem
QUIRK	.SAI		;An attempt to do searching in interrupt?
RAIDIN	.SAI	RAIDIN	;Program to smash a RAID into another frame
RSQ	.SAI		;Rel file squeezer
SCAN	.SAI		;New BAIL scanner checkout program
SPACE	.SAI		;STORAGE allocation examiner -- show split
SQUASH	.SAI		;Hufmann code generator program
ST3	.SAI		;Attempt to translate "TREK"
ST4	.SAI		;Attempt to translate "TREK"
STABS	.SAI		;Set tab stops on HP (see INIT.FAI)
STAKPR	.SAI		;Print a back-trace of stacked args
STKPR	.SAI		;Print a back-trace of stacked args
STUB	.SAI		;Program to print calling ACS and start offset
TELCHK	.SAI	TELCHK	;A program to "compress" telecopy detached output
TMERGE	.SAI	TMERGE	;Program to re-distribute sources by pages
TREDF	.SAI		;Tries the EDFILE runtime.
TRESHO	.SAI		;Program to display Huffmn codes made by SQUASH
TXTFND	.SAI		;experimental FIND
WIZARD	.SAI		;"wizardly" sail string stuff checkout
WORDIT	.SAI		;Break up "words" as in proposed word searcher
WRSSTA	.SAI		;Statistics for probability of checksum collision
X22	.SAI		;Stuff for the 1022 / SAIL interface
XDART	.SAI		;DART tape stuff (DART=SUAI 7-track tape format)
XFND	.SAI		;Experimental FIND
XPFIND	.SAI		;Experimental FIND v10 (no binary files) -WIP
XZ	.SAI		;Old XSEARCH sources (?)
Z	.SAI		;SAIL BUG: array access code (INAC problem)
Z2	.SAI		;Old XSEARCH sources (?)
ZOOM	.SAI		;Old XSEARCH sources (?)
ZZZ	.SAI		;Sail checkout -- mismatched block name bug
ZZZZ	.SAI		;Sail checkout -- mismatched block name bug
33X	.SAI		;SAIL bug: CASEC checkout
BLOAT	.SAV	BLOAT	;Bloat expands shrunken files (hamm-compressed)
CKS	.SAV		;SAIL editor-free (sort of) Checksummer v6
CLEAN	.SAV		;Fiddles white space
CMPRES	.SAV		;Text and so on compression (Hamming code?)
CT9	.SAV		;History keeper for small programs
DIFDIF	.SAV		;Program to compare two corresponding sets of files
FRAID	.SAV	FRAID	;File-RAID program
FTYP	.SAV		;Prints with "enhanced"versions of control chars
FULLDR	.SAV		;print full lookup block out
GRAB	.SAV		;Grab an HP screenful and put in a file
HUFTRY	.SAV	HUFMANN	;Try a Huffmann code out
INIT	.SAV		;Yet another INIT program
MAP	.SAV		;ZORK map keeper
NAMFIL	.SAV	CABNET	;Experiment: See if file names nicely saved
PLNUM	.SAV		;Double precision mangle program
PRITRY	.SAV		;Priority queue
RAIDIN	.SAV	RAIDIN	;Program to smash a RAID into another frame
RSQ	.SAV		;Rel file squeezer
SQUASH	.SAV		;Hufmann code generator program
STABS	.SAV		;Set tab stops on HP (see INIT.FAI)
TELCHK	.SAV	TELCHK	;A program to "compress" telecopy detached output
TRESHO	.SAV		;Program to display Huffmn codes made by SQUASH
ZEN	.SHR	ZEN	;Fortune cookie logout
EXTEND	.SLB		;SAILIB extended stuff source
AI	.SOS		;SUAI character set (sorted by ? notation)
FILES	.SRC		;Sources for SAIL (RUN+COMP), for copies?
GOGTAB	.SRT		;GOGTAB documents and document assembler
RAID	.SUB	FRAID	;Subroutines for File-Raid
CLUMP	.SUM	CABNET	;Data layout for clump/cabnet proposed
CT9	.TSR		;History keeper for small programs
IDEAL	.TXT	WILDE	;script summary for "An Ideal Husband"
LIGHTS	.TXT		;Page to record F3 lights on
RAID70	.TXT	RAIDIN	;Directions for creating RAID very-high-segments
RAIDSG	.TXT	RAIDIN	;Explanations of several RAIDSG locations
ORDER	.TYM		;ORDER (SCISS input) for TYMSHR files
BAIL	.USE		;A kluge for local vbls when using bail
AI	.V		;SUAI character set (sorted by ? notation)
TELCHK	.V1	TELCHK	;A program to "compress" telecopy detached output
TELCHK	.V2	TELCHK	;A program to "compress" telecopy detached output
AST	.		;Attempts at defining "Abstract symbolic text"
CASBUG	.		;used to show a CASE error (?)
CAST	.	WILDE	;Characters in "An Ideal Husband"
CMDLST	.		;Command process tables for RAID
CORDAT	.		;Show the core allocation (load!module)
CVSWAP	.		;Check out SWAP conversions
DFTRAN	.		;File transfer attempt at C-like pseudo-code
EXPRS	.	SAIL	;SAIL compiler file: compiles expressions
FILES	.		;what files are consumed by what (making SAIL)
FSHDOC	.		;FSHTAP command file format document
G2	.		;The "great galaxies" program
GOGOL	.	SAIL	;SAIL -- massive needed runtimes
GOGXL	.	SAIL	;A modified SAIL runtime source
HEAD	.		;SAIL macros shared by runtimes/compiler ...
HEL	.		;SAIL production rules (Floyd-Evans Prod Lang: see Gries)
HELBNF	.		;Another "readable" HEL I think
HPS	.		;Screen grab of HP status routine
IOSER	.		;SAIL -- T10/TYMCOM-X i/o runtimes
MACS	.		;A macro processor for BAIL (like BAILMX)
OPNFIL	.		;An OPENFILE routine (not approved)
PCVOS	.		;Print trap to use '<octal>, for BAILing
PFL37	.		;Profile program stuff
PO	.		;Old prune stuff
PROFIL	.		;Profil program stuff
SEMBLK	.		;Document of formats during Compiler
SL	.		;SLOE double float stuff
SLB	.		;SAILIB package modules map
SP	.	BSPLINE	;Cubic B-spline stuff
STONE	.		;Millstone form
SYM	.		;SAIL compiler Source -- has Scanner
TBAIL	.		;A hacked-up BAIL to check new goodies in
TESTGC	.		;Stripped from GOGOL -- SGC pages
TSR	.		;Job data area tsr
XPORT	.		;C-flavored transport layer
ZP	.		;Search machine mid-translation to ?
RAIDSG	.660	RAIDIN	;RAID set to run at location 660000 (for RAIDIN)
GOGOL	.930	SAIL	;SAIL -- massive needed runtimes
